participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.profession,player.difficult,player.performed_well,player.interesting,player.feel_time_pressure,player.need_work_fast,player.feel_hurried_rushed,player.total_task_time,player.relevant_marks,player.marked_as_relevant,player.queries_issued,player.documents_viewed,player.serps_viewed,player.document_view_time,player.serp_view_time,player.hover_depth,player.current_hover_depth,player.topicname,player.topicdes,player.topicnar,player.treatment,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,e7taizdu,,0,3,3,time_pressure,1,Questionnaire,145.94.169.36,2018-04-02 23:48:30.648101+00:00,1,,,0,1,,,,,,,,,,0,,0,0,0,0,0,0,0.0,0.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
2,hcxzxkwr,,0,1,3,time_pressure,1,Introduction,145.94.169.36,2018-04-02 23:48:59.607984+00:00,1,,,0,2,,,,,,,,,,,,,,,,,,,,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
3,uhqph48t,,0,1,3,time_pressure,1,Introduction,145.94.169.36,2018-04-02 23:52:32.955533+00:00,1,,,0,3,,,,,,,,,,,,,,,,,,,,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
4,oofmsjpy,,0,3,3,time_pressure,1,Questionnaire,131.180.41.146,2018-04-03 10:04:14.097758+00:00,1,,,0,4,,,,,,,,,,900,",XIE19970609.0090,APW20000113.0004",2,1,2,4,19102,866842,0.0,1.0,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
5,7nph949h,,0,1,3,time_pressure,1,Introduction,131.180.41.146,2018-04-03 10:12:38.431225+00:00,1,,,0,5,,,,,,,,,,,,,,,,,,,,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
6,2gus5reo,,0,2,3,time_pressure,1,Search,80.114.173.211,2018-04-03 10:34:40.215142+00:00,1,,,0,6,,,,,,,,,,,,,,,,,,,,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
7,4m110pnf,,0,3,3,time_pressure,1,Questionnaire,145.94.152.161,2018-04-03 11:28:21.484727+00:00,1,,,0,7,,,,,,,,,,0,,0,0,0,0,0,0,0.0,0.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
8,ykfk202k,,0,4,3,time_pressure,1,Questionnaire,80.56.95.87,2018-04-03 13:03:36.473250+00:00,1,,,0,8,26,female,none,4,4,3,1,1,1,900,",XIE19960122.0096,XIE19971119.0121,XIE19961017.0131",3,12,9,15,244284,620012,5.0,1.0,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
9,uvc019wv,,0,4,3,time_pressure,1,Questionnaire,145.94.164.47,2018-04-03 13:58:10.089612+00:00,1,,,0,9,22,male,student,5,6,5,7,6,4,300,",XIE19960817.0128,APW19980723.0158",4,3,10,7,41911,231721,1.91008771929825,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
10,a9m5st1s,,0,3,3,time_pressure,1,Questionnaire,80.114.173.211,2018-04-03 15:42:05.323982+00:00,1,,,0,10,,,,,,,,,,0,,0,0,0,0,0,0,0.0,0.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
