,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.profession,player.difficult,player.performed_well,player.interesting,player.feel_time_pressure,player.need_work_fast,player.feel_hurried_rushed,player.total_task_time,player.relevant_marks,player.marked_as_relevant,player.queries_issued,player.documents_viewed,player.serps_viewed,player.document_view_time,player.serp_view_time,player.hover_depth,player.current_hover_depth,player.topicname,player.topicdes,player.topicnar,player.treatment,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
7,8,ykfk202k,,0,4,3,time_pressure,1.0,Questionnaire,80.56.95.87,2018-04-03 13:03:36.473250+00:00,1,,,0,8,26.0,female,none,4.0,4.0,3.0,1.0,1.0,1.0,900.0,",XIE19960122.0096,XIE19971119.0121,XIE19961017.0131",3.0,12.0,9.0,15.0,244284.0,620012.0,5.0,1.0,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
8,9,uvc019wv,,0,4,3,time_pressure,1.0,Questionnaire,145.94.164.47,2018-04-03 13:58:10.089612+00:00,1,,,0,9,22.0,male,student,5.0,6.0,5.0,7.0,6.0,4.0,300.0,",XIE19960817.0128,APW19980723.0158",4.0,3.0,10.0,7.0,41911.0,231721.0,1.9100877192982502,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
17,18,kous8wzv,,0,4,3,time_pressure,1.0,Questionnaire,88.202.161.242,2018-04-04 17:38:33.983643+00:00,1,,,0,18,30.0,male,student,1.0,6.0,4.0,2.0,3.0,5.0,76.0,",APW19980828.1026",1.0,3.0,1.0,3.0,23039.0,18005.0,0.0,0.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
24,25,kbjx78ea,,0,4,3,time_pressure,1.0,Questionnaire,145.94.155.147,2018-04-06 08:40:49.326955+00:00,1,,,0,25,27.0,male,student,2.0,6.0,6.0,5.0,6.0,5.0,122.0,",XIE19970329.0126,APW19990925.0203",2.0,1.0,3.0,2.0,11003.0,56604.0,0.0,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
31,32,jcmivc64,,0,4,3,time_pressure,1.0,Questionnaire,89.99.88.70,2018-04-09 08:45:00.773344+00:00,1,,,0,32,22.0,male,student,6.0,3.0,2.0,7.0,7.0,7.0,300.0,",XIE19971105.0215,XIE19970204.0117,XIE19991013.0174,XIE19970821.0131",4.0,1.0,10.0,2.0,143208.0,93735.0,0.0,1.0,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
32,33,pqsfgho2,,0,4,3,time_pressure,1.0,Questionnaire,80.112.172.134,2018-04-09 08:46:47.910456+00:00,1,,,0,33,24.0,male,student,5.0,5.0,6.0,7.0,6.0,7.0,300.0,",XIE19971011.0245,XIE19981231.0006,XIE19981218.0059,XIE19990211.0261,XIE20000402.0062,XIE19991102.0229,APW20000411.0224,XIE19980217.0309,XIE19980427.0212,APW19990729.0236,XIE19970506.0256,XIE19971202.0315",13.0,5.0,17.0,6.0,110407.0,145410.0,2.8530092592592595,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
33,34,ydvhwku3,,0,4,3,time_pressure,1.0,Questionnaire,80.112.172.134,2018-04-09 08:54:28.200252+00:00,1,,,0,34,24.0,male,student,3.0,6.0,3.0,7.0,7.0,6.0,300.0,",APW19980828.1026,XIE19970315.0123,XIE19991022.0269,NYT19990922.0006,APW19990922.0002,APW20000608.0061,APW20000422.0050,APW20000711.0071,XIE20000912.0076",9.0,3.0,17.0,5.0,93908.0,186807.0,2.0,1.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
34,35,2sgt4sq2,,0,4,3,time_pressure,1.0,Questionnaire,80.112.147.230,2018-04-09 09:05:49.180570+00:00,1,,,0,35,22.0,female,student,6.0,4.0,1.0,2.0,1.0,4.0,425.0,",XIE19970715.0206,XIE19990203.0111,XIE19990626.0118,XIE19981018.0019,APW20000520.0025,NYT20000821.0338,XIE19960927.0212,XIE19970122.0108",8.0,7.0,16.0,18.0,168242.0,212275.0,3.35532407407407,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
35,36,4irayhdl,,0,4,3,time_pressure,1.0,Questionnaire,145.94.154.62,2018-04-09 09:24:47.022555+00:00,1,,,0,36,22.0,female,student,5.0,2.0,4.0,4.0,4.0,3.0,310.0,",XIE19960807.0127,APW19981212.0657,XIE19970711.0170",3.0,6.0,7.0,6.0,112382.0,167159.0,3.68865740740741,1.0,Population Growth,What measures have been taken worldwide and what countries have been effective in curbing population growth?,"A relevant document must describe an actual case in which population measures have been taken and their results are known. The reduction measures must have been actively pursued; that is, passive events such as disease or famine involuntarily reducing the population are not relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
36,37,139ddk18,,0,4,3,time_pressure,1.0,Questionnaire,145.94.230.154,2018-04-09 10:01:16.988690+00:00,1,,,0,37,26.0,male,student,2.0,6.0,6.0,5.0,6.0,5.0,900.0,",XIE19980217.0309,XIE19990607.0183,XIE19971202.0315,NYT19990314.0080,XIE19960604.0216,XIE19980605.0222,XIE20000411.0031,XIE20000402.0062,XIE20000901.0259,XIE19960604.0217,XIE19990503.0124,XIE19991125.0260,XIE19970809.0215,XIE19990609.0202,XIE20000524.0176,XIE20000508.0141,XIE19971111.0522,APW19990729.0236",18.0,3.0,24.0,6.0,620858.0,245604.0,0.4922514631037129,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
38,39,hqlt77bp,,0,4,3,time_pressure,1.0,Questionnaire,80.112.159.113,2018-04-09 10:05:05.689921+00:00,1,,,0,39,28.0,male,student,4.0,6.0,4.0,2.0,3.0,2.0,128.0,",XIE19990203.0111,XIE19990626.0118,XIE19981018.0019,APW20000520.0025,XIE19980715.0276",5.0,2.0,7.0,3.0,37912.0,72817.0,0.0,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
40,41,i1v9mzzq,,0,4,3,time_pressure,1.0,Questionnaire,145.5.205.165,2018-04-09 11:37:18.447161+00:00,1,,,0,41,24.0,male,student,7.0,1.0,1.0,5.0,5.0,5.0,149.0,,0.0,6.0,0.0,6.0,0.0,108722.0,2.75197367919119,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
45,46,f7uyoqcg,,0,4,3,time_pressure,1.0,Questionnaire,87.214.70.136,2018-04-09 16:46:08.320817+00:00,1,,,0,46,23.0,male,student,3.0,4.0,6.0,6.0,6.0,4.0,748.0,",APW19980828.1026,APW19980721.0098,APW20000427.0059,XIE20000512.0109,APW20000802.0115,XIE19990817.0115,XIE19960811.0120",7.0,9.0,13.0,10.0,183324.0,537632.0,3.8287037037037,1.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",0,2,2,0,1,2,1,juuma90u,apone,,,,,0
46,47,uz83r04b,,0,4,3,time_pressure,1.0,Questionnaire,80.114.140.51,2018-04-09 21:17:30.516623+00:00,1,,,0,47,23.0,male,student,4.0,3.0,4.0,5.0,5.0,5.0,62.0,,0.0,2.0,0.0,2.0,0.0,37003.0,1.0,1.0,Piracy,"What modern instances have there been of old fashioned piracy, the boarding or taking control of boats?","Documents discussing piracy on any body of water are relevant.  Documents discussing the legal taking of ships or their contents by a national authority are non-relevant.  Clashes between fishing vessels over fishing are not relevant, unless one vessel is boarded.",1,2,2,0,1,2,1,juuma90u,apone,,,,,0
100,1,334j12ec,,0,4,3,time_pressure,1.0,Questionnaire,80.112.154.73,2018-04-03 17:25:35.354484+00:00,1,,,0,1,22.0,male,student,5.0,6.0,4.0,5.0,5.0,5.0,300.0,",NYT20000404.0011,XIE19960605.0164,XIE19960817.0128,APW19981214.0968,XIE20000402.0062",5.0,6.0,9.0,9.0,83130.0,174144.0,2.0,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
104,5,6q1z0y62,,0,4,3,time_pressure,1.0,Questionnaire,80.112.172.223,2018-04-03 21:09:39.229332+00:00,1,,,0,5,23.0,male,student,3.0,5.0,4.0,6.0,6.0,5.0,283.0,",XIE19990217.0123,XIE19990920.0246,APW19980907.0515,XIE19990526.0198,APW19980720.0008,XIE19960919.0188,APW19990323.0266,XIE20000229.0084,XIE19981218.0059",9.0,4.0,14.0,8.0,71760.0,188822.0,3.0,1.0,Wildlife Extinction,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,"A relevant item will specify the country, the involved species, and steps taken to save the species.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
105,6,zcookw7g,,0,4,3,time_pressure,1.0,Questionnaire,154.70.152.98,2018-04-03 21:11:26.325279+00:00,1,,,0,6,29.0,male,working,2.0,4.0,3.0,5.0,6.0,4.0,197.0,",APW19980810.1117,APW19980828.1026,XIE19970315.0123,APW19980827.1082,XIE19991022.0269,APW19990922.0002,APW20000608.0061,APW20000422.0050,XIE19981020.0161",9.0,3.0,9.0,3.0,33001.0,110410.0,0.0,1.0,Journalist Risk,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.","Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant.",1,3,3,0,1,3,1,1rtfn3fg,tom-daniel,,,,,0
